ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
0093A0,KR70093A0000,KR70093A0000,2025-08-26,verified_official,synced
0093B0,KR70093B0009,KR70093B0009,2025-08-26,verified_official,synced
0093D0,KR70093D0007,KR70093D0007,2025-08-26,verified_official,synced
0094K0,KR70094K0007,KR70094K0007,2025-08-26,verified_official,synced
0094L0,KR70094L0006,KR70094L0006,2025-09-02,verified_official,synced
0094M0,KR70094M0005,KR70094M0005,2025-09-02,verified_official,synced
0094X0,KR70094X0002,KR70094X0002,2025-09-02,verified_official,synced
0097L0,KR70097L0003,KR70097L0003,2025-09-02,verified_official,synced
0098F0,KR70098F0000,KR70098F0000,2025-09-16,verified_official,synced
0098N0,KR70098N0000,KR70098N0000,2025-09-16,verified_official,synced
0098Z0,KR70098Z0006,KR70098Z0006,2025-09-23,verified_official,synced
0099L0,KR70099L0001,KR70099L0001,2025-09-09,verified_official,synced
0100K0,KR70100K0009,KR70100K0009,2025-09-16,verified_official,synced
0101N0,KR70101N0005,KR70101N0005,2025-09-23,verified_official,synced
0102A0,KR70102A0009,KR70102A0009,2025-09-09,verified_official,synced
0102X0,KR70102X0002,KR70102X0002,2025-09-23,verified_official,synced
0103T0,KR70103T0007,KR70103T0007,2025-09-30,verified_official,synced
0104G0,KR70104G0001,KR70104G0001,2025-09-30,verified_official,synced
0104H0,KR70104H0000,KR70104H0000,2025-09-30,verified_official,synced
0104N0,KR70104N0002,KR70104N0002,2025-09-23,verified_official,synced
0104P0,KR70104P0000,KR70104P0000,2025-09-23,verified_official,synced
0105D0,KR70105D0003,KR70105D0003,2025-09-23,verified_official,synced
0105E0,KR70105E0002,KR70105E0002,2025-09-23,verified_official,synced
0107F0,KR70107F0009,KR70107F0009,2025-09-23,verified_official,synced
0111J0,KR70111J0009,KR70111J0009,2025-10-28,verified_official,synced
0111P0,KR70111P0001,KR70111P0001,2025-09-30,verified_official,synced
0112X0,KR70112X0000,KR70112X0000,2025-10-28,verified_official,synced
0113D0,KR70113D0003,KR70113D0003,2025-10-28,verified_official,synced
0113G0,KR70113G0000,KR70113G0000,2025-11-11,verified_official,synced
0113P0,KR70113P0009,KR70113P0009,2025-09-30,verified_official,synced
0114X0,KR70114X0008,KR70114X0008,2025-10-21,verified_official,synced
0115C0,KR70115C0002,KR70115C0002,2025-10-21,verified_official,synced
0115D0,KR70115D0001,KR70115D0001,2025-10-28,verified_official,synced
0115E0,KR70115E0000,KR70115E0000,2025-10-21,verified_official,synced
0117L0,KR70117L0009,KR70117L0009,2025-10-28,verified_official,synced
0117V0,KR70117V0007,KR70117V0007,2025-10-21,verified_official,synced
0118S0,KR70118S0001,KR70118S0001,2025-10-28,verified_official,synced
0118Z0,KR70118Z0002,KR70118Z0002,2025-10-28,verified_official,synced
0119H0,KR70119H0003,KR70119H0003,2025-11-04,verified_official,synced
0120J0,KR70120J0008,KR70120J0008,2025-12-02,verified_official,synced
0122W0,KR70122W0009,KR70122W0009,2025-11-18,verified_official,synced
0123G0,KR70123G0008,KR70123G0008,2025-11-04,verified_official,synced
0123S0,KR70123S0004,KR70123S0004,2025-12-16,verified_official,synced
0127M0,KR70127M0006,KR70127M0006,2025-11-11,verified_official,synced
0127P0,KR70127P0003,KR70127P0003,2025-11-11,verified_official,synced
0127R0,KR70127R0001,KR70127R0001,2025-11-25,verified_official,synced
0127T0,KR70127T0009,KR70127T0009,2025-11-11,verified_official,synced
0127V0,KR70127V0005,KR70127V0005,2025-11-11,verified_official,synced
0128D0,KR70128D0006,KR70128D0006,2025-11-18,verified_official,synced
0131A0,KR70131A0004,KR70131A0004,2025-11-25,verified_official,synced
0131V0,KR70131V0009,KR70131V0009,2025-11-25,verified_official,synced
0131W0,KR70131W0008,KR70131W0008,2025-11-25,verified_official,synced
0132D0,KR70132D0000,KR70132D0000,2025-11-25,verified_official,synced
0132H0,KR70132H0006,KR70132H0006,2025-11-25,verified_official,synced
0132K0,KR70132K0001,KR70132K0001,2025-12-09,verified_official,synced
0133E0,KR70133E0008,KR70133E0008,2026-02-03,verified_official,synced
0135Y0,KR70135Y0002,KR70135Y0002,2025-12-16,verified_official,synced
0137V0,KR70137V0003,KR70137V0003,2025-12-09,verified_official,synced
0137W0,KR70137W0002,KR70137W0002,2025-12-09,verified_official,synced
0138D0,KR70138D0004,KR70138D0004,2025-12-16,verified_official,synced
0138T0,KR70138T0006,KR70138T0006,2025-12-23,verified_official,synced
0138Y0,KR70138Y0009,KR70138Y0009,2025-12-16,verified_official,synced
0139F0,KR70139F0001,KR70139F0001,2025-12-09,verified_official,synced
0139P0,KR70139P0009,KR70139P0009,2025-12-16,verified_official,synced
0141S0,KR70141S0002,KR70141S0002,2025-12-16,verified_official,synced
0141T0,KR70141T0001,KR70141T0001,2025-12-16,verified_official,synced
0142D0,KR70142D0008,KR70142D0008,2025-12-09,verified_official,synced
